address,city,country,date,description,lat,location,long,price,province,rooms,source,sqft,title,url
,,,2018-07-01T07:33:17-0700,"
        ,
Very Spacious 3 Bedroom Upstairs Unit, with 2 Full Washrooms for $1950 (Utilities Separate).  Available for Showing, Please Call Kam At  ,
 To Schedule Time To View Suite.,
,
- Kitchen/ Family Room/ Laundry Room,
,
- 3 Bedrooms and 2 Full Washrooms ,
,
- Master Bedroom Has Large Closet and Full Washroom,
,
- Kitchen with Dish Washer, Unit has its own Washer and Dryer,
,
- Cabinets installed in Kitchen with soft close drawers,
,
- Hardwood Flooring ,
,
- Large Backyard,
,
- No Smoking, ,
,
- Preference for No Pets, but may make exception for a well-trained cat.,
,
- Off Street Parking for 2 Cars (one behind the other),
,
- Hydro and Gas Not Included, Shared With Ground Level Unit,
,
- Bus Stop Across the Street, Elementary School down the street, High School 3 mins away, 2 mins away from Surrey Memorial Hospital,
,
,
Background and Credit Checks are done during selection process,
,
Address for Unit is 9229 140th Street, Surrey, BC V3V 5Z3 (Door On The Far Left At The Front Of The Duplex),
,
,
Kam -  ,
,
,
    ",49.170229," (Surrey, BC)",-122.834756,"$1,950",,3br,Craigslist,,Very Spacious 3 Bedroom/2 Full Washroom Upstairs Unit For Rent,https://vancouver.craigslist.ca/rds/apa/d/very-spacious-3-bedroom-2/6631722700.html
,,,2018-06-28T13:08:05-0700,"
        ,
. One bedroom suite  $850  for one person ,
Avalaible July 1st ,
Utilities included hydro hot water ,wifi ,laundry mart only  few blocks away ,
Furnished or unfurnished ,
Great for students  and good location only 8 minutes walking distance from Surrey central Station ,
bus loop ,shopping center ,library etc,
No pets ,no smoker ,no drugs also no party ,
The place is very quite ,
Please text or call  ,
.       ,
,
Please call for the showing ,
13097 Old Yale Rd Surrey,
Thanks ,
 ,
,
    ",49.189736, (Surrey),-122.861615,$850,,1br,Craigslist,,1 bedroom suite for rent,https://vancouver.craigslist.ca/rds/apa/d/1-bedroom-suite-for-rent/6629855834.html
,,,2018-07-01T07:02:42-0700,"
        ,
,
20211 66 Ave, Langley, BC V2Y 1P3,
475 sq.ft. 3nd floor, facing green belt and open area,
,
This one bedroom is brand new at Elements Condominium in Langley, BC,
Laminate floor in living room and bedroom, tile floor in bathroom,
Modern kitchen with Quartz countertop and stainless steel appliances include French door fridge, range, microwave and dishwasher. In-suite laundry, washer and dryer included. ,
Water and garbage fee included (electricity not included),
One underground parking space included,
,
Elements is close to many shops (Costco, Walmart, BestBuy, Home Depot, Superstore, Willowbrook shopping centre), restaurants and a short drive to get on to all major transportation routes.,
,
Tenants have access to private amenity in the complex, includes GYM, theatre, meeting room, etc.,
Secure building with FOB entry,
,
Minimum one year lease, $500 damage deposit,
First month rent and damage deposit to move in,
Application is available upon request,
This one bedroom is available July 2018,
Call or text  ,
 for question.,
Quiet and nice,
NP, NS,
    ",49.122633, (langley),-122.665413,"$1,500",,1br,Craigslist,475,Brand new one bedroom condo for rent,https://vancouver.craigslist.ca/rds/apa/d/brand-new-one-bedroom-condo/6631703028.html
,,,2018-06-28T15:34:54-0700,"
        ,
Exellent Like New,
2 bedroom legal basement suite (900sq/ft) Available Now,
Located in the Douglas/Summerfield subdivision. Includes wifi internet, utilities, and washer/dryer in suite. ,
Very spacious and has soundproof ceiling. Located in front of Peace Portal golf course on a quiet street. Very short drive to hwy99 and hwy15 and both US/Canada border crossings. 5min to White Rock Beach. Walking distance to convenience/drug store. No pets and no smoking/drugs.,
,
Please quote ID 1457 when calling or texting    ",49.00647, (South Surrey),-122.749487,"$1,350",,2br,Craigslist,900,LIKE NEW - MOVE IN TODAY - 2 BEDROOM SUITE - ID 1457,https://vancouver.craigslist.ca/rds/apa/d/like-new-move-in-today-2/6629678066.html
,,,2018-06-28T15:34:40-0700,"
        ,
Exellent Like New,
2 bedroom legal basement suite (900sq/ft) Available Now,
Located in the Douglas/Summerfield subdivision. Includes wifi internet, utilities, and washer/dryer in suite. ,
Very spacious and has soundproof ceiling. Located in front of Peace Portal golf course on a quiet street. Very short drive to hwy99 and hwy15 and both US/Canada border crossings. 5min to White Rock Beach. Walking distance to convenience/drug store. No pets and no smoking/drugs.,
,
Please quote ID 1457 when calling or texting    ",49.00647," (Douglas, Surrey)",-122.749487,"$1,350",,2br,Craigslist,900,EXCELLENT ALL INCLUSIVE 2 BEDROOM SUITE - ID 1457,https://vancouver.craigslist.ca/rds/apa/d/excellent-all-inclusive-2/6629677867.html
,,,2018-07-01T04:10:00-0700,"
        ,
Gorgeous valley views!! 1 bdrm corner unit at Park Avenue by Concord Pacific. Great location, next to skytrain station, Surrey city center,, shopping mall, restaurant, T&T and SFU campus. This unit offered modern living lifestyle, open concept, nice&warm interior design features included 655 SF+120 SF balcony, roller shade window finishings, wide plank laminate floorings, gourmet kitchen w/gas cooktop, quartz counter top, marble backsplash & elegant cabinet cover, stackable energy star qualified washer/dryer, marble floor in bathroom    ",49.1894, (509-13750 100 Avenue),-122.8454,$900,,1br,Craigslist,,"Gorgeous valley views!! 1 bdrm , next to skytrain station, Surrey city",https://vancouver.craigslist.ca/rds/apa/d/gorgeous-valley-views-1-bdrm/6631635419.html
,,,2018-07-01T05:11:16-0700,"
        ,
Stunning 1 bedroom for rent situated on 204th by 54 avenue in Langley. $1,250.00 a month rent , hot water included. Can be rented now. The building offers:  elevators, parking, wheelchair accessible.    ",49.099813, (Langley),-122.656509,"$1,250",,1br,Craigslist,,Can be rented now stunning 1 bdrm Langley,https://vancouver.craigslist.ca/rds/apa/d/can-be-rented-now-stunning-1/6631651187.html
,,,2018-07-01T03:47:14-0700,"
        ,
Welcome to the INFINITY TOWERS. We present to you the most beautiful south-facing 1bdrm available. This unit has a fabulous functional floorplan and features awesome flooring upgrades and is professionally decorated. Spacious dining and living rooms lead right into a master bedroom fit for a KING. When u step onto your balcony, take a hold of the show stopper which is undoubtedly the magnificent UNOBSTRUCTED VIEWS to the South. Future potential here is limitless as it is located at the #1 investment location; Central City, which is steps away from the skytrain, SFU and the shopping mall.    ",49.191441, (3008-13618 100 Avenue),-122.846721,$877,,1br,Craigslist,,"beautiful south-facing 1bdrm near skytrain, SFU",https://vancouver.craigslist.ca/rds/apa/d/beautiful-south-facing-1bdrm/6631631599.html
,,,2018-06-27T01:33:57-0700,"
        ,
Beautiful Condo 1 Bedroom Suite for rent. Great location, Great View, West Facing, Quiet and Bright. Looking for mature, clean and responsible professional, maximum 2 persons. ,
,
5 minutes walk to King George Skytrain Station and Jim Patterson Outpatient care center.  ,
10 minutes walk to Surrey Central City Mall, Surrey Memorial Hospital, RCMP Headquarters, new City Center Library and SFU Surrey Campus. Doorsteps to bus stops. ,
 ,
** Available August 1st 2018 **  ,
,
- Stainless Steel Appliances (Fridge, Stove w/Oven, Dishwasher, Microwave w/Exhaust Fan),
- In-suite laundry (Stack-able Washer Dryer),
- Under the sink Garburator,
- Key fob access to doors and underground parking (Fob Deposit required),
- ABSOLUTELY NO SMOKING (ANY KIND), NO DRUGS, NO PARTIES,
- SORRY, NO PETS,
,
,
 Rent $1,250/month includes:,
 - Hot water and Gas (Hydro not included),
 - Strata Management Fee,
 - 1 Parking Stall,
 - 1 Storage Locker,
 - Gym/Fitness Center (24/7 accessible),
 - Party/Meeting room,
 - Guest Suite (Reservation with payment in advance, first come first serve),
,
 Rent is non-negotiable. Must sign a 11 months fixed term agreement. Tenant also required to pay a one time move-in/out fee $100. ,
,
 Credit check and references required!,
,
 Please email / text with Brief Background to make appointment for viewing. NO PHONE CALL PLEASE.,
,
When responding, please let me know more about yourself, how many persons intended to live in the suite, what do you do for living (Income verification is needed), and able to provide at least 2 references, one from work (management) and one other, preferably a former landlord.,
,
,
    ",49.179403," (13883 Laurel Drive, Surrey, BC)",-122.837491,"$1,250",,1br,Craigslist,590,Beautiful 1 Bedroom Condo,https://vancouver.craigslist.ca/rds/apa/d/beautiful-1-bedroom-condo/6628078374.html
,,,2018-07-01T04:25:50-0700,"
        ,
This is a new 2 bedroom basement suite. This rental basement suite is much lower then market value but the condition is we are only in interested in one employed person no exceptions. No pets no exceptions, NS.,
,
The suite included utilities Hydro and Gas, Wifi, Own laundry.,
,
Pls do not email if there is more then one person...    ",49.140038, (Surrey),-122.814401,"$1,200",,2br,Craigslist,1050,2 Bedroom Suite High End with laundery internet and utilities WIFI INC,https://vancouver.craigslist.ca/rds/apa/d/2-bedroom-suite-high-end-with/6631638657.html
