address,city,country,date,description,lat,location,long,price,province,rooms,source,sqft,title,url
,,,2016-11-04 5:59,,49.171266,,-122.859083,1500,,,,,house for rent,http://vancouver.craigslist.ca/van/apa/5854074875.html
,,,2016-11-04 0:38,,49.154468,,-122.827607,1000,,2,,,2 bedrooms 1 full bathroom,http://vancouver.craigslist.ca/van/apa/5826896484.html
,,,2016-11-04 20:40,,49.184823,,-122.824473,1500,,3,,1400,House for Rent Main Floor Guildford Surrey дЦ‰,http://vancouver.craigslist.ca/van/apa/5861938604.html
,,,2016-11-05 10:32,,49.123349,,-122.890277,1500,,2,,805,2BR 2BR SALUS WITH 2UNDERGROUNG PARKING,http://vancouver.craigslist.ca/van/apa/5862653327.html
,,,2016-11-05 11:48,,49.154468,,-122.827607,1000,,2,,,"2 bedrooms 1 full bathroom basement suit.Rent $1,000",http://vancouver.craigslist.ca/van/apa/5848295233.html
,,,2016-11-05 2:39,,49.123052,,-122.800937,1000,,2,,,Suite In A Prime Location,http://vancouver.craigslist.ca/van/apa/5851544993.html
,,,2016-11-04 18:47,,49.024432,,-122.812575,1400,,1,,510,Beautiful White Rock Condo,http://vancouver.craigslist.ca/van/apa/5848841158.html
,,,2016-11-03 0:02,,49.150989,,-122.890369,1900,,1,,,One bedroom   apartment for Rent,http://vancouver.craigslist.ca/van/apa/5858893500.html
,,,2016-11-03 13:20,,49.04542,,-122.795511,2100,,3,,1450,3 bedroom house  Near 20th and king George,http://vancouver.craigslist.ca/van/apa/5814822672.html
,,,2016-11-04 0:38,,49.154468,,-122.827607,1000,,2,,,2 bedrooms 1 full bathroom,http://vancouver.craigslist.ca/van/apa/5826896484.html
,,,2016-11-05 10:32,,49.123349,,-122.890277,1500,,2,,805,2BR 2BR APARTMENT WITH 2UNDERGROUNG PARKING,http://vancouver.craigslist.ca/van/apa/5862653327.html
,,,2016-11-04 20:40,,49.184823,,-122.824473,1500,,3,,1400,House for Rent Main Floor Guildford Surrey дЦ‰,http://vancouver.craigslist.ca/van/apa/5861938604.html
,,,2016-11-04 5:59,,49.171266,,-122.859083,1500,,,,,house for rent,http://vancouver.craigslist.ca/van/apa/5854074875.html
,,,2016-11-05 11:48,,49.154468,,-122.827607,1000,,2,,,"2 bedrooms 1 full bathroom basement suit.Rent $1,000",http://vancouver.craigslist.ca/van/apa/5848295233.html
,,,2016-11-04 18:47,,49.024432,,-122.812575,1400,,1,,510,Beautiful White Rock Condo,http://vancouver.craigslist.ca/van/apa/5848841158.html
,,,2016-11-06 1:02,,49.123052,,-122.800937,975,,2,,,2 bedrooms and one bathroom suite,http://vancouver.craigslist.ca/van/apa/5863529514.html
,,,2016-11-03 13:20,,49.04542,,-122.795511,2100,,3,,1450,3 bedroom house  Near 20th and king George,http://vancouver.craigslist.ca/van/apa/5814822672.html
,,,2016-11-06 19:20,,49.193161,,-122.773526,2150,,4,,2200,RARE Find:Very Spacious Executive Full House Available November 15th,http://vancouver.craigslist.ca/van/apa/5857977434.html
